USDJPY,BWMFI,MACD,RSI,CCI,MACD2,RSI0,OsMA1,OsMA2,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,EURUSD
110.8955,0.23529412,-1.8665939999999999E-2,27.273183490000001,32.258064519999998,-2.0939409999999999E-2,45.297827859999998,4.5743900000000002E-3,111.01767458,110.892,110.76632542,-66.304347829999998,-76.595744679999996,-67.195767200000006,-99.378881989999996,110.85994048000001,110.82299999999999,-8319,-8476,110.8545,110.94199999999999,110.89749999999999,110.96425000000001,110.956,110.96550000000001,110.851,110.917,110.89749999999999,110.96599999999999,110.956,110.8775,-4.4488239999999998E-2,-5.2029409999999998E-2,-7.0426470000000005E-2,-8.6894120000000005E-2,-0.04820294,-2.0491180000000001E-2,111.02864812,111.01215765000001,110.90325,110.8849,110.77785188,110.75764235,0.00012301,-2.2775600000000001E-3,-4.8717099999999996E-3,83.333333330000002,82.352941180000002,85.310058979999994,90.198947869999998,-7906,-7957,-8009,8.2073500000000004E-3,-4.7926499999999999E-3,1.1195649999999999
110.89400000000001,0.20000000000000001,-1.8825479999999999E-2,27.273183490000001,32.258064519999998,-2.0939409999999999E-2,44.500398969999999,4.5743900000000002E-3,111.01763149999999,110.89190000000001,110.76616850000001,-67.391304349999999,-76.595744679999996,-68.25396825,-99.378881989999996,110.85994048000001,110.82299999999999,-8320,-8476,110.8545,110.94199999999999,110.89749999999999,110.96425000000001,110.956,110.96550000000001,110.851,110.917,110.89749999999999,110.96599999999999,110.956,110.8775,-4.4658820000000002E-2,-5.2029409999999998E-2,-7.0426470000000005E-2,-8.6894120000000005E-2,-0.04820294,-2.0491180000000001E-2,111.02868583999999,111.01215765000001,110.90315,110.8849,110.77761416,110.75764235,4.4579999999999997E-5,-2.2775600000000001E-3,-4.8717099999999996E-3,83.333333330000002,82.352941180000002,85.310058979999994,90.198947869999998,-7907,-7957,-8009,8.2073500000000004E-3,-4.7926499999999999E-3,1.1195949999999999
110.89,0.15217391,-0.01914457,27.273183490000001,32.258064519999998,-2.0939409999999999E-2,42.939712030000003,4.5743900000000002E-3,111.01758602,110.8917,110.76581398,-69.565217390000001,-76.595744679999996,-70.370370370000003,-99.378881989999996,110.85994048000001,110.82299999999999,-8416,-8476,110.8545,110.94199999999999,110.89749999999999,110.96425000000001,110.956,110.96550000000001,110.851,110.917,110.89749999999999,110.96599999999999,110.956,110.8775,-4.4914709999999997E-2,-5.2029409999999998E-2,-7.0426470000000005E-2,-8.6894120000000005E-2,-0.04820294,-2.0491180000000001E-2,111.02876764,111.01215765000001,110.90300000000001,110.8849,110.77723236,110.75764235,-9.9209999999999994E-5,-2.2775600000000001E-3,-4.8717099999999996E-3,83.333333330000002,82.352941180000002,85.310058979999994,90.198947869999998,-8003,-7957,-8009,8.2073500000000004E-3,-4.7926499999999999E-3,1.1196200000000001
110.89,0.15217391,-0.01914457,27.273183490000001,32.258064519999998,-2.0939409999999999E-2,42.939712030000003,4.5743900000000002E-3,111.01758602,110.8917,110.76581398,-69.565217390000001,-76.595744679999996,-70.370370370000003,-99.378881989999996,110.85994048000001,110.82299999999999,-8416,-8476,110.8545,110.94199999999999,110.89749999999999,110.96425000000001,110.956,110.96550000000001,110.851,110.917,110.89749999999999,110.96599999999999,110.956,110.8775,-4.4914709999999997E-2,-5.2029409999999998E-2,-7.0426470000000005E-2,-8.6894120000000005E-2,-0.04820294,-2.0491180000000001E-2,111.02876764,111.01215765000001,110.90300000000001,110.8849,110.77723236,110.75764235,-9.9209999999999994E-5,-2.2775600000000001E-3,-4.8717099999999996E-3,83.333333330000002,82.352941180000002,85.310058979999994,90.198947869999998,-8003,-7957,-8009,8.2073500000000004E-3,-4.7926499999999999E-3,1.1196200000000001
110.8895,0.17073171000000001,-0.01914457,27.273183490000001,32.258064519999998,-2.0939409999999999E-2,42.939712030000003,4.5743900000000002E-3,111.01758602,110.8917,110.76581398,-69.565217390000001,-76.595744679999996,-70.370370370000003,-99.378881989999996,110.85994048000001,110.82299999999999,-8411,-8476,110.8545,110.94199999999999,110.89749999999999,110.96425000000001,110.956,110.96550000000001,110.851,110.917,110.89749999999999,110.96599999999999,110.956,110.8775,-4.4914709999999997E-2,-5.2029409999999998E-2,-7.0426470000000005E-2,-8.6894120000000005E-2,-0.04820294,-2.0491180000000001E-2,111.02876764,111.01215765000001,110.90300000000001,110.8849,110.77723236,110.75764235,-9.9209999999999994E-5,-2.2775600000000001E-3,-4.8717099999999996E-3,83.333333330000002,82.352941180000002,85.310058979999994,90.198947869999998,-7998,-7957,-8009,8.2073500000000004E-3,-4.7926499999999999E-3,1.11961
110.88800000000001,0.17499999999999999,-1.9304109999999999E-2,27.273183490000001,32.258064519999998,-2.0939409999999999E-2,42.313752119999997,4.5743900000000002E-3,111.01758357,110.8916,110.76561642999999,-70.652173910000002,-76.595744679999996,-71.428571430000005,-99.378881989999996,110.85994048000001,110.82299999999999,-8410,-8476,110.8545,110.94199999999999,110.89749999999999,110.96425000000001,110.956,110.96550000000001,110.851,110.917,110.89749999999999,110.96599999999999,110.956,110.8775,-4.4914709999999997E-2,-5.2029409999999998E-2,-7.0426470000000005E-2,-8.6894120000000005E-2,-0.04820294,-2.0491180000000001E-2,111.02876764,111.01215765000001,110.90300000000001,110.8849,110.77723236,110.75764235,-0.0001515,-2.2775600000000001E-3,-4.8717099999999996E-3,83.333333330000002,82.352941180000002,85.310058979999994,90.198947869999998,-7997,-7957,-8009,8.2073500000000004E-3,-4.7926499999999999E-3,1.1196250000000001
110.88800000000001,0.17499999999999999,-1.9304109999999999E-2,27.273183490000001,32.258064519999998,-2.0939409999999999E-2,42.313752119999997,4.5743900000000002E-3,111.01758357,110.8916,110.76561642999999,-70.652173910000002,-76.595744679999996,-71.428571430000005,-99.378881989999996,110.85994048000001,110.82299999999999,-8410,-8476,110.8545,110.94199999999999,110.89749999999999,110.96425000000001,110.956,110.96550000000001,110.851,110.917,110.89749999999999,110.96599999999999,110.956,110.8775,-4.4914709999999997E-2,-5.2029409999999998E-2,-7.0426470000000005E-2,-8.6894120000000005E-2,-0.04820294,-2.0491180000000001E-2,111.02876764,111.01215765000001,110.90300000000001,110.8849,110.77723236,110.75764235,-0.0001515,-2.2775600000000001E-3,-4.8717099999999996E-3,83.333333330000002,82.352941180000002,85.310058979999994,90.198947869999998,-7997,-7957,-8009,8.2073500000000004E-3,-4.7926499999999999E-3,1.1196250000000001
110.88849999999999,0.17948718,-1.9304109999999999E-2,27.273183490000001,32.258064519999998,-2.0939409999999999E-2,42.313752119999997,4.5743900000000002E-3,111.01758357,110.8916,110.76561642999999,-70.652173910000002,-76.595744679999996,-71.428571430000005,-99.378881989999996,110.85994048000001,110.82299999999999,-8409,-8476,110.8545,110.94199999999999,110.89749999999999,110.96425000000001,110.956,110.96550000000001,110.851,110.917,110.89749999999999,110.96599999999999,110.956,110.8775,-4.4914709999999997E-2,-5.2029409999999998E-2,-7.0426470000000005E-2,-8.6894120000000005E-2,-0.04820294,-2.0491180000000001E-2,111.02876764,111.01215765000001,110.90300000000001,110.8849,110.77723236,110.75764235,-0.0001515,-2.2775600000000001E-3,-4.8717099999999996E-3,83.333333330000002,82.352941180000002,85.310058979999994,90.198947869999998,-7996,-7957,-8009,8.2073500000000004E-3,-4.7926499999999999E-3,1.1195999999999999
110.88849999999999,0.17948718,-1.9304109999999999E-2,27.273183490000001,32.258064519999998,-2.0939409999999999E-2,42.313752119999997,4.5743900000000002E-3,111.01758357,110.8916,110.76561642999999,-70.652173910000002,-76.595744679999996,-71.428571430000005,-99.378881989999996,110.85994048000001,110.82299999999999,-8409,-8476,110.8545,110.94199999999999,110.89749999999999,110.96425000000001,110.956,110.96550000000001,110.851,110.917,110.89749999999999,110.96599999999999,110.956,110.8775,-4.4914709999999997E-2,-5.2029409999999998E-2,-7.0426470000000005E-2,-8.6894120000000005E-2,-0.04820294,-2.0491180000000001E-2,111.02876764,111.01215765000001,110.90300000000001,110.8849,110.77723236,110.75764235,-0.0001515,-2.2775600000000001E-3,-4.8717099999999996E-3,83.333333330000002,82.352941180000002,85.310058979999994,90.198947869999998,-7996,-7957,-8009,8.2073500000000004E-3,-4.7926499999999999E-3,1.1195999999999999
110.889,0.18421053000000001,-1.9224339999999999E-2,27.273183490000001,32.258064519999998,-2.0939409999999999E-2,42.62443407,4.5743900000000002E-3,111.01758311,110.89165,110.76571688999999,-70.108695650000001,-76.595744679999996,-70.899470899999997,-99.378881989999996,110.85994048000001,110.82299999999999,-8408,-8476,110.8545,110.94199999999999,110.89749999999999,110.96425000000001,110.956,110.96550000000001,110.851,110.917,110.89749999999999,110.96599999999999,110.956,110.8775,-4.4914709999999997E-2,-5.2029409999999998E-2,-7.0426470000000005E-2,-8.6894120000000005E-2,-0.04820294,-2.0491180000000001E-2,111.02876764,111.01215765000001,110.90300000000001,110.8849,110.77723236,110.75764235,-1.2535000000000001E-4,-2.2775600000000001E-3,-4.8717099999999996E-3,83.333333330000002,82.352941180000002,85.310058979999994,90.198947869999998,-7995,-7957,-8009,8.2073500000000004E-3,-4.7926499999999999E-3,1.1195999999999999
